,Name,Age,#days,Lev,Date,Tm, ,Opp,G,GS,W,L,SV,IP,H,R,ER,BB,SO,HR,HBP,ERA,GSc,AB,2B,3B,IBB,GDP,SF,SB,CS,PO,BF,Pit,Str,StL,StS,GB/FB,LD,PU,WHIP,BAbip,SO9,SO/W,mlbID
72,Caleb Kilian,29,0,Maj-NL,"Aug 9, 2026",Philadelphia,,Toronto,1,0,1.0,,,1.0,1,1,0,0,0,0,0,0.0,,3,0,0,0,1,0,0,0,0,3,13,0.69,0.08,0.0,0.33,0.33,0.33,1.0,0.333,0.0,,668873
73,Bryan King,29,0,Maj-AL,"Aug 9, 2026",Houston,@,San Diego,1,0,,,,1.0,2,2,2,0,3,1,0,18.0,,5,0,0,0,0,0,0,0,0,5,24,0.63,0.25,0.13,0.0,1.0,0.0,2.0,1.0,27.0,,687911
74,Tyler Kinley,35,0,Maj-NL,"Aug 9, 2026",Atlanta,@,New York,1,0,,,1.0,1.0,0,0,0,0,1,0,0,0.0,,3,0,0,0,0,0,0,0,0,3,10,0.7,0.1,0.1,0.5,0.0,0.5,0.0,0.0,9.0,,641755
75,Andrew Kittredge,36,0,Maj-AL,"Aug 9, 2026",Baltimore,@,Texas,1,0,,,,1.0,0,0,0,0,0,0,0,0.0,,3,0,0,0,0,0,0,0,0,3,6,0.83,0.33,0.0,0.67,0.0,0.0,0.0,0.0,0.0,,552640
76,Casey Legumina,29,0,Maj-AL,"Aug 9, 2026",Tampa Bay,@,Seattle,1,0,,,,1.0,0,0,0,0,0,0,0,0.0,,3,0,0,0,0,0,0,0,0,3,14,0.79,0.14,0.0,0.33,0.0,0.33,0.0,0.0,0.0,,668984
77,Brendon Little,29,0,Maj-AL,"Aug 9, 2026",Toronto,@,Philadelphia,1,0,,,,1.0,0,0,0,2,3,0,0,0.0,,3,0,0,0,0,0,2,0,0,5,22,0.55,0.18,0.23,,,,2.0,,27.0,1.5,663893
79,Brad Lord,26,0,Maj-NL,"Aug 9, 2026",Washington,,Cincinnati,1,1,,,,2.2,2,1,1,0,4,0,1,3.38,54,9,0,0,0,0,1,0,0,0,11,51,0.71,0.1,0.12,0.33,0.5,0.0,0.75,0.333,13.5,,695418
80,Michael Lorenzen,34,0,Maj-NL,"Aug 9, 2026",Colorado,@,St. Louis,1,1,,,,4.1,8,4,2,3,1,1,0,4.15,33,19,1,0,0,0,1,0,0,0,23,97,0.59,0.14,0.05,0.53,0.26,0.05,2.539,0.389,2.1,0.33,547179
81,Jes\xc3\xbas Luzardo,28,0,Maj-NL,"Aug 9, 2026",Philadelphia,,Toronto,1,1,,,,7.0,4,2,2,1,12,0,0,2.57,72,25,1,0,0,0,0,0,0,0,27,100,0.7,0.22,0.2,0.5,0.36,0.07,0.714,0.308,15.4,12.0,666200
82,Sean Manaea,34,0,Maj-NL,"Aug 9, 2026",New York,@,Pittsburgh,1,1,1.0,,,7.0,3,1,1,0,11,1,1,1.29,78,24,1,0,0,0,0,0,0,0,25,91,0.76,0.21,0.18,0.31,0.15,0.08,0.429,0.167,14.1,,640455
83,Davis Martin,29,0,Maj-AL,"Aug 9, 2026",Chicago,,Cleveland,1,1,,,,1.0,2,2,1,1,1,0,0,9.0,43,4,0,0,0,0,1,1,0,0,6,23,0.65,0.22,0.13,0.25,0.75,0.0,3.0,0.5,9.0,1.0,663436
84,Steven Matz,35,0,Maj-AL,"Aug 9, 2026",Tampa Bay,@,Seattle,1,0,,,1.0,1.0,0,0,0,0,0,0,1,0.0,,4,0,0,0,0,0,0,0,0,5,14,0.71,0.21,0.07,0.25,0.0,0.0,0.0,0.0,0.0,,571927
